[2025-07-15 11:22:55] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 15.5, 'memory_percent': 85.0, 'uptime_seconds': 403523, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:22:56] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 63.6, 'memory_percent': 82.2, 'uptime_seconds': 403524, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:28:14] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 30.5, 'memory_percent': 84.1, 'uptime_seconds': 403843, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:28:14] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 58.1, 'memory_percent': 84.0, 'uptime_seconds': 403843, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:29:56] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 35.4, 'memory_percent': 85.8, 'uptime_seconds': 403946, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:30:00] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 75.0, 'memory_percent': 84.9, 'uptime_seconds': 403949, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:30:05] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 46.9, 'memory_percent': 84.5, 'uptime_seconds': 403954, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:30:07] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 32.0, 'memory_percent': 84.4, 'uptime_seconds': 403956, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:30:11] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 41.4, 'memory_percent': 84.3, 'uptime_seconds': 403960, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:30:44] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 67.4, 'memory_percent': 82.7, 'uptime_seconds': 403994, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:30:54] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 40.2, 'memory_percent': 80.9, 'uptime_seconds': 404003, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:30:57] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 71.1, 'memory_percent': 80.5, 'uptime_seconds': 404006, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:31:31] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 53.1, 'memory_percent': 78.6, 'uptime_seconds': 404041, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:31:43] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 43.0, 'memory_percent': 79.5, 'uptime_seconds': 404052, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:31:44] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 39.1, 'memory_percent': 79.6, 'uptime_seconds': 404053, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:32:18] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 45.7, 'memory_percent': 79.7, 'uptime_seconds': 404088, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:32:31] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 48.5, 'memory_percent': 79.6, 'uptime_seconds': 404100, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:32:50] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 84.5, 'memory_percent': 82.2, 'uptime_seconds': 404119, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:33:02] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 45.7, 'memory_percent': 81.8, 'uptime_seconds': 404131, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:33:22] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 97.0, 'memory_percent': 84.8, 'uptime_seconds': 404151, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:34:34] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 74.2, 'memory_percent': 87.0, 'uptime_seconds': 404224, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:34:38] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 57.3, 'memory_percent': 87.0, 'uptime_seconds': 404227, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:35:21] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 35.9, 'memory_percent': 84.1, 'uptime_seconds': 404271, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
[2025-07-15 11:35:24] {'os': 'Windows', 'release': '10', 'version': '10.0.19045', 'architecture': '64bit', 'machine': 'AMD64', 'processor': 'Intel64 Family 6 Model 142 Stepping 9, GenuineIntel', 'cpu_percent': 41.9, 'memory_percent': 84.1, 'uptime_seconds': 404273, 'interface': '\\Device\\NPF_{A96C006E-F3A0-44E9-A569-812BD51F7528}', 'mac_address': '00:00:00:00:00:00', 'ip_address': '0.0.0.0'}
